closeness,# of True,mean pain,time known,life exp,meditation,illness,belief,knows the goal
6,5,2.16,3,0,0,0,0,0
7.5,5,1.93,1,0,0,0,1,1
10,4,1.625,20,1,0,0,0,0
9,3,1.91,20,1,0,0,1,1
7,7,2.83,2,0,0,0,1,0
7,3,1.91,2,1,0,0,0,1
8,5,1.33,7,0,1,0,0,1
8,7,1.75,7,0,0,0,0,1
10,8,1.83,21,1,0,0,1,0
9,6,2.08,21,1,0,0,1,1
8,3,1,0.67,0,1,0,0,0
6,5,1.41,0.5,0,0,0,0,1
8,5,1.66,20,1,0,0,0,1
8,6,2.58,21,1,0,0,1,1
7,11,2.208,22,1,0,1,0,0
9,4,1.62,21,1,0,0,1,1
9,5,1.66,10,0,0,0,0,0
6,7,1.41,10,1,0,0,0,0
8,7,1.83,3,0,0,0,0,0
